iter	Passed	Remaining
319	1420	3017
320	1423	3011
321	1428	3007
322	1431	3001
323	1435	2994
324	1439	2988
325	1443	2985
326	1447	2978
327	1451	2974
328	1456	2971
329	1461	2967
330	1465	2962
331	1469	2955
332	1473	2952
333	1477	2946
334	1481	2940
335	1484	2933
336	1488	2927
337	1493	2924
338	1497	2920
339	1501	2914
340	1507	2913
341	1511	2908
342	1515	2903
343	1519	2897
344	1523	2893
345	1527	2887
346	1530	2881
347	1534	2875
348	1539	2871
349	1543	2866
350	1547	2860
351	1550	2854
352	1555	2850
353	1558	2844
354	1562	2838
355	1566	2833
356	1571	2830
357	1576	2826
358	1579	2821
359	1583	2815
360	1588	2812
361	1593	2807
362	1596	2802
363	1603	2801
364	1607	2796
365	1611	2790
366	1614	2785
367	1619	2781
368	1622	2775
369	1626	2768
370	1629	2762
371	1633	2756
372	1637	2751
373	1640	2745
374	1643	2739
375	1647	2733
376	1651	2729
377	1655	2724
378	1659	2719
379	1662	2713
380	1667	2709
381	1672	2704
382	1675	2699
383	1679	2694
384	1684	2690
385	1688	2685
386	1691	2679
387	1696	2675
388	1701	2672
389	1705	2667
390	1709	2662
391	1713	2657
392	1718	2654
393	1723	2650
394	1727	2645
395	1733	2643
396	1737	2639
397	1742	2634
398	1746	2630
399	1751	2627
400	1755	2621
401	1758	2616
402	1763	2612
403	1768	2609
404	1773	2605
405	1776	2599
406	1782	2596
407	1785	2590
408	1789	2585
409	1792	2579
410	1797	2576
411	1801	2571
412	1805	2565
413	1808	2560
414	1813	2556
415	1816	2550
416	1820	2544
417	1823	2539
418	1828	2534
419	1831	2529
420	1834	2523
421	1838	2517
422	1841	2512
423	1845	2506
424	1848	2501
425	1852	2496
426	1856	2490
427	1860	2485
428	1863	2480
429	1867	2475
430	1870	2469
431	1874	2464
432	1878	2459
433	1881	2454
434	1885	2448
435	1889	2443
436	1893	2439
437	1897	2434
438	1900	2429
439	1905	2425
440	1909	2420
441	1914	2417
442	1918	2412
443	1923	2409
444	1929	2406
445	1932	2400
446	1936	2395
447	1941	2392
448	1946	2388
449	1950	2383
450	1954	2378
451	1958	2374
452	1963	2370
453	1967	2365
454	1971	2361
455	1977	2359
456	1981	2353
457	1984	2348
458	1989	2345
459	1993	2340
460	1997	2334
461	2000	2329
462	2004	2325
463	2008	2320
464	2012	2315
465	2015	2309
466	2020	2305
467	2023	2300
468	2027	2295
469	2030	2290
470	2035	2285
471	2038	2280
472	2042	2275
473	2045	2269
474	2048	2264
475	2053	2260
476	2057	2255
477	2060	2250
478	2063	2244
479	2067	2240
480	2071	2235
481	2074	2229
482	2078	2224
483	2081	2219
484	2087	2216
485	2098	2218
486	2109	2221
487	2119	2223
488	2131	2227
489	2142	2230
490	2147	2225
491	2151	2221
492	2155	2216
493	2158	2211
494	2173	2217
495	2178	2213
496	2183	2209
497	2188	2205
498	2191	2200
499	2208	2208
500	2212	2203
501	2216	2199
502	2220	2194
503	2224	2189
504	2227	2183
505	2232	2179
506	2235	2173
507	2239	2168
508	2243	2163
509	2247	2159
510	2252	2155
511	2255	2149
512	2259	2144
513	2264	2140
514	2268	2136
515	2272	2131
516	2277	2127
517	2282	2123
518	2285	2118
519	2289	2113
520	2293	2108
521	2298	2104
522	2302	2099
523	2305	2094
524	2311	2090
525	2314	2086
526	2318	2081
527	2322	2076
528	2327	2072
529	2331	2067
530	2335	2063
531	2340	2058
532	2344	2054
533	2348	2049
534	2353	2045
535	2358	2041
536	2362	2036
537	2365	2031
538	2369	2026
539	2374	2022
540	2378	2017
541	2383	2014
542	2387	2009
543	2392	2005
544	2396	2000
545	2399	1995
546	2403	1990
547	2409	1987
548	2413	1982
549	2416	1977
550	2420	1972
551	2425	1968
552	2429	1964
553	2434	1959
554	2438	1955
555	2443	1951
556	2447	1946
557	2451	1941
558	2455	1937
559	2458	1932
560	2462	1927
561	2466	1922
562	2470	1917
563	2474	1912
564	2477	1907
565	2480	1901
566	2484	1897
567	2489	1893
568	2493	1888
569	2496	1883
570	2500	1878
571	2506	1875
572	2509	1870
573	2513	1865
574	2516	1860
575	2521	1856
576	2525	1851
577	2528	1846
578	2532	1841
579	2537	1837
580	2543	1834
581	2547	1829
582	2551	1825
583	2555	1820
584	2560	1816
585	2565	1812
586	2569	1808
587	2574	1803
588	2579	1799
589	2583	1795
590	2588	1791
591	2592	1786
592	2595	1781
593	2601	1777
594	2606	1773
595	2609	1769
596	2613	1764
597	2618	1760
598	2622	1755
599	2625	1750
600	2630	1746
601	2634	1741
602	2639	1737
603	2643	1733
604	2651	1731
605	2655	1726
606	2660	1722
607	2665	1718
608	2669	1713
609	2673	1709
610	2680	1706
611	2685	1702
612	2690	1698
613	2696	1695
614	2701	1691
615	2706	1687
616	2712	1683
617	2716	1679
618	2721	1674
619	2725	1670
620	2730	1666
621	2734	1661
622	2738	1657
623	2743	1653
624	2748	1648
625	2752	1644
626	2756	1640
627	2764	1637
628	2769	1633
629	2773	1628
630	2778	1624
631	2785	1621
632	2791	1618
633	2798	1615
634	2805	1612
635	2812	1609
636	2816	1605
637	2821	1600
638	2827	1597
639	2831	1592
640	2835	1588
641	2840	1583
642	2844	1579
643	2848	1574
644	2852	1569
645	2856	1565
646	2860	1560
647	2864	1555
648	2868	1551
649	2873	1547
650	2877	1542
651	2880	1537
652	2883	1532
653	2888	1528
654	2892	1523
655	2896	1518
656	2899	1513
657	2906	1510
658	2911	1506
659	2915	1501
660	2920	1497
661	2924	1493
662	2927	1488
663	2931	1483
664	2935	1478
665	2939	1473
666	2943	1469
667	2946	1464
668	2950	1459
669	2964	1460
670	2983	1462
671	2995	1461
672	3008	1461
673	3021	1461
674	3025	1456
675	3029	1452
676	3033	1447
677	3038	1442
678	3053	1443
679	3056	1438
680	3059	1433
681	3063	1428
682	3067	1423
683	3070	1418
684	3074	1413
685	3077	1408
686	3080	1403
687	3084	1398
688	3087	1393
689	3090	1388
690	3093	1383
691	3097	1378
692	3100	1373
693	3104	1368
694	3107	1363
695	3111	1359
696	3115	1354
697	3119	1349
698	3122	1344
699	3125	1339
700	3129	1334
701	3133	1330
702	3137	1325
703	3140	1320
704	3144	1315
705	3148	1311
706	3153	1306
707	3156	1301
708	3160	1297
709	3165	1292
710	3168	1288
711	3172	1283
712	3176	1278
713	3181	1274
714	3185	1269
715	3188	1264
716	3192	1260
717	3197	1255
718	3201	1251
719	3205	1246
720	3208	1241
721	3213	1237
722	3217	1232
723	3220	1227
724	3224	1222
725	3228	1218
726	3232	1213
727	3236	1209
728	3239	1204
729	3244	1200
730	3248	1195
731	3251	1190
732	3255	1185
733	3259	1181
734	3262	1176
735	3266	1171
736	3269	1166
737	3273	1161
738	3277	1157
739	3281	1152
740	3286	1148
741	3293	1145
742	3299	1141
743	3306	1137
744	3310	1133
745	3315	1128
746	3320	1124
747	3324	1120
748	3329	1115
749	3333	1111
750	3337	1106
751	3340	1101
752	3344	1097
753	3347	1092
754	3351	1087
755	3355	1082
756	3358	1078
757	3362	1073
758	3365	1068
759	3369	1063
760	3373	1059
761	3377	1054
762	3381	1050
763	3384	1045
764	3389	1041
765	3393	1036
766	3396	1031
767	3400	1027
768	3404	1022
769	3408	1018
770	3411	1013
771	3415	1008
772	3419	1004
773	3423	999
774	3427	995
775	3430	990
776	3434	985
777	3439	981
778	3443	976
779	3446	972
780	3450	967
781	3455	963
782	3458	958
783	3461	953
784	3465	949
785	3469	944
786	3472	939
787	3476	935
788	3479	930
789	3483	926
790	3487	921
791	3490	916
792	3493	911
793	3497	907
794	3500	902
795	3504	898
796	3507	893
797	3510	888
798	3514	884
799	3518	879
800	3521	874
801	3524	870
802	3528	865
803	3532	861
804	3535	856
805	3539	851
806	3543	847
807	3547	842
808	3550	838
809	3554	833
810	3557	829
811	3560	824
812	3564	819
813	3567	815
814	3571	810
815	3574	805
816	3577	801
817	3581	796
818	3585	792
819	3588	787
820	3592	783
821	3596	778
822	3600	774
823	3603	769
824	3606	765
825	3610	760
826	3614	756
827	3618	751
828	3621	747
829	3624	742
830	3629	738
831	3633	733
832	3637	729
833	3640	724
834	3645	720
835	3649	715
836	3653	711
837	3656	706
838	3661	702
839	3665	698
840	3670	693
841	3673	689
842	3679	685
843	3683	680
844	3687	676
845	3692	672
846	3696	667
847	3700	663
848	3704	658
849	3708	654
850	3712	649
851	3715	645
852	3719	641
853	3723	636
854	3727	632
855	3731	627
856	3734	623
857	3737	618
858	3741	614
859	3744	609
860	3748	605
861	3751	600
862	3755	596
863	3758	591
864	3762	587
865	3765	582
866	3769	578
867	3772	573
868	3776	569
869	3779	564
870	3783	560
871	3787	555
872	3790	551
873	3793	546
874	3797	542
875	3801	538
876	3805	533
877	3809	529
878	3812	524
879	3816	520
880	3820	515
881	3823	511
882	3827	507
883	3830	502
884	3834	498
885	3837	493
886	3841	489
887	3844	484
888	3847	480
889	3851	476
890	3855	471
891	3859	467
892	3862	462
893	3866	458
894	3871	454
895	3875	449
896	3879	445
897	3884	441
898	3889	436
899	3893	432
900	3896	428
901	3901	423
902	3905	419
903	3909	415
904	3912	410
905	3917	406
906	3921	402
907	3925	397
908	3928	393
909	3933	389
910	3937	384
911	3940	380
912	3944	375
913	3949	371
914	3953	367
915	3956	362
916	3960	358
917	3965	354
918	3968	349
919	3971	345
920	3975	340
921	3979	336
922	3983	332
923	3986	327
924	3990	323
925	3993	319
926	3997	314
927	4000	310
928	4004	306
929	4007	301
930	4011	297
931	4014	292
932	4018	288
933	4021	284
934	4025	279
935	4029	275
936	4032	271
937	4035	266
938	4039	262
939	4042	258
940	4046	253
941	4049	249
942	4053	245
943	4057	240
944	4060	236
945	4064	232
946	4067	227
947	4071	223
948	4074	218
949	4078	214
950	4081	210
951	4085	205
952	4089	201
953	4093	197
954	4097	193
955	4100	188
956	4104	184
957	4108	180
958	4113	175
959	4117	171
960	4120	167
961	4125	162
962	4129	158
963	4133	154
964	4136	150
965	4141	145
966	4145	141
967	4149	137
968	4152	132
969	4157	128
970	4161	124
971	4165	119
972	4168	115
973	4172	111
974	4177	107
975	4182	102
976	4185	98
977	4190	94
978	4194	89
979	4197	85
980	4200	81
981	4205	77
982	4208	72
983	4212	68
984	4215	64
985	4219	59
986	4223	55
987	4226	51
988	4230	47
989	4233	42
990	4237	38
991	4240	34
992	4244	29
993	4247	25
994	4252	21
995	4255	17
996	4258	12
997	4262	8
998	4266	4
999	4269	0
